"user_id","month","language","age","total_users","paid_users","total_revenue","arppu","mrr","new_paid_users","revenue_new_users","new_mrr","churned_users","previous_paid_users","churn_rate","churned_revenue","revenue_churn_rate","expansion_mrr","contraction_mrr"
Bcs3CbYx2EpbL9otxlEUmg==,3,uk,18,5,1,89.22,89.22,446.10,1,89.22,446.10,0,0,0,0,0,0.00,0.00
NMmQVq8bB84KydONJjvTfQ==,3,uk,18,1,1,15.33,15.33,15.33,1,15.33,15.33,1,0,1,0,0.00000000000000000000,0.00,0.00
J6WNl39fdxaY8ZtvV8wNkw==,3,uk,18,1,1,16.14,16.14,16.14,1,16.14,16.14,0,0,0,0,0.00000000000000000000,0.00,0.00
prNQwR2IPPsvGpFgOpcGaQ==,3,uk,14,1,1,15.66,15.66,15.66,1,15.66,15.66,0,0,0,0,0.00000000000000000000,0.00,0.00
AN9at3LlvDamqXq8dvHD4w==,3,ru,24,2,1,42.03,42.03,84.06,1,42.03,84.06,0,0,0,0,0.00000000000000000000,0.00,0.00
l3sFUsG2qpcnrEzwRnjvtQ==,3,ru,15,2,1,38.10,38.10,76.20,1,38.10,76.20,0,0,0,0,0.00000000000000000000,0.00,0.00
HJccOn6v5KHqBa8wRu42oQ==,3,uk,20,1,1,27.6,27.60,27.60,1,27.6,27.60,0,0,0,0,0.00000000000000000000,0.00,0.00
jVhb69DTRT5TSWYEiUrlbg==,3,uk,20,1,1,17.46,17.46,17.46,1,17.46,17.46,0,0,0,0,0.00000000000000000000,0.00,0.00
"787jk0VnxM8/sv/0TkvO6A==",3,uk,20,2,1,48.45,48.45,96.90,1,48.45,96.90,0,0,0,0,0.00000000000000000000,0.00,0.00
XE2e8BsmBo72HxABlJmsRw==,3,uk,20,2,1,38.16,38.16,76.32,1,38.16,76.32,1,0,1,0,0.00000000000000000000,0.00,0.00
"4b7l8C489HEJirtoe7xtFg==",3,uk,20,2,1,27.15,27.15,54.30,1,27.15,54.30,0,0,0,0,0.00000000000000000000,0.00,0.00
xiXTXOEbWU+HnGOUmgc9/w==,3,uk,20,1,1,24.18,24.18,24.18,1,24.18,24.18,0,0,0,0,0.00000000000000000000,0.00,0.00
Fx9+2aYPOHAS3fdXpLQ9Pg==,3,ru,35,1,1,12.54,12.54,12.54,1,12.54,12.54,0,0,0,0,0.00000000000000000000,0.00,0.00
W6fRYNhsTNHQkvkoFEUaVQ==,3,uk,16,3,1,48.33,48.33,144.99,1,48.33,144.99,0,0,0,0,0.00000000000000000000,0.00,0.00
Y/nf8iBu/UCaNAuIRRjVwA==,3,uk,15,1,1,24.27,24.27,24.27,1,24.27,24.27,0,0,0,0,0.00000000000000000000,0.00,0.00
iFFApiXZ2wPdS666BLpKZw==,3,uk,18,1,1,26.85,26.85,26.85,1,26.85,26.85,0,0,0,0,0.00000000000000000000,0.00,0.00
Veep00i4vvZbTAVD6GMoiA==,3,uk,38,1,1,12.72,12.72,12.72,1,12.72,12.72,0,0,0,0,0.00000000000000000000,0.00,0.00
Ghk2iJmzSUW4qLsmJgwOcw==,3,uk,16,1,1,17.13,17.13,17.13,1,17.13,17.13,0,0,0,0,0.00000000000000000000,0.00,0.00
Uen3Ap0lnrgWVWJtFCSo7g==,3,ru,17,1,1,20.79,20.79,20.79,1,20.79,20.79,0,0,0,0,0.00000000000000000000,0.00,0.00
ZmjMhgyYl6o8iFq964FEWg==,3,ru,17,3,1,54.60,54.60,163.80,1,54.60,163.80,0,0,0,0,0.00000000000000000000,0.00,0.00
"4btLP2zvi8eBV0t08fdkKQ==",3,ru,20,1,1,17.79,17.79,17.79,1,17.79,17.79,0,0,0,0,0.00000000000000000000,0.00,0.00
"7GE5h/3N3lcro3K9T3aujw==",3,ru,32,2,1,38.52,38.52,77.04,1,38.52,77.04,0,0,0,0,0.00000000000000000000,0.00,0.00
"3iITAz/ADjFv3PDTgTjxSg==",3,ru,16,1,1,23.76,23.76,23.76,1,23.76,23.76,0,0,0,0,0.00000000000000000000,0.00,0.00
H44DjZG42orzuBXLai7JkA==,3,ru,29,1,1,13.32,13.32,13.32,1,13.32,13.32,1,0,0,0,0.00000000000000000000,0.00,0.00
s27V1tbCAysovKSY1XcdWQ==,3,uk,34,1,1,22.95,22.95,22.95,1,22.95,22.95,0,0,0,0,0.00000000000000000000,0.00,0.00
A1qVjssGQ+ZUWZu3Z5DzTA==,3,uk,24,3,1,45.27,45.27,135.81,1,45.27,135.81,0,0,0,0,0.00000000000000000000,0.00,0.00
"72brUr/DKItStlTen5pHYg==",3,uk,24,1,1,24.15,24.15,24.15,1,24.15,24.15,0,0,0,0,0.00000000000000000000,0.00,0.00
o55dseByUOl9s5IQCz1kuQ==,3,uk,22,1,1,23.16,23.16,23.16,1,23.16,23.16,0,0,0,0,0.00000000000000000000,0.00,0.00
Jp0hnV9XOJGVV5jpFhlqgQ==,3,uk,25,5,1,122.64,122.64,613.20,1,122.64,613.20,0,0,0,0,0.00000000000000000000,0.00,0.00
SyWxmJ+Ha8K2C9UJt8blVA==,3,ru,25,2,1,55.62,55.62,111.24,1,55.62,111.24,0,0,0,0,0.00000000000000000000,0.00,0.00
V7J42heW8l19wiBJ8UpRyw==,3,ru,25,3,1,49.80,49.80,149.40,1,49.80,149.40,0,0,0,0,0.00000000000000000000,0.00,0.00
B4b6v6eUHvAVOeAQk6EEiw==,3,ru,23,1,1,15.3,15.30,15.30,1,15.3,15.30,0,0,0,0,0.00000000000000000000,0.00,0.00
T+RA0/fgzbUBLF89D4AEDA==,3,ru,23,1,1,16.11,16.11,16.11,1,16.11,16.11,0,0,0,0,0.00000000000000000000,0.00,0.00
"7EPlnA7OQ9MhMx+od6FA9g==",3,ru,23,6,1,158.67,158.67,952.02,1,158.67,952.02,0,0,0,0,0.00000000000000000000,0.00,0.00
zSepnWFgLH0tQb1s4mxKZQ==,3,uk,24,1,1,23.01,23.01,23.01,1,23.01,23.01,0,0,0,0,0.00000000000000000000,0.00,0.00
ZeMBdi9hmR0vUv+lyZiypQ==,3,uk,22,2,1,25.41,25.41,50.82,1,25.41,50.82,1,0,0,0,0.00000000000000000000,0.00,0.00
pz7LUOs9i7xgncmHVxQvOw==,3,ru,24,2,1,36.51,36.51,73.02,1,36.51,73.02,0,0,0,0,0.00000000000000000000,0.00,0.00
HxWcXHURvvtOJkrXAcDxQg==,3,uk,15,2,1,66.18,66.18,132.36,1,66.18,132.36,0,0,0,0,0.00000000000000000000,0.00,0.00
b3TBQFxyCxxypmPajF+jXw==,3,uk,15,1,1,13.98,13.98,13.98,1,13.98,13.98,0,0,0,0,0.00000000000000000000,0.00,0.00
"75lEf3nSWLSf6GncqhR9gQ==",3,ru,22,1,1,14.1,14.10,14.10,1,14.1,14.10,0,0,0,0,0.00000000000000000000,0.00,0.00
"99X4aLWWjAIgmlXjrXQIgg==",3,ru,22,1,1,16.98,16.98,16.98,1,16.98,16.98,1,0,1,0,0.00000000000000000000,0.00,0.00
"7SeM1pmnTTTXfhI+x3ldng==",3,ru,22,2,1,34.74,34.74,69.48,1,34.74,69.48,0,0,0,0,0.00000000000000000000,0.00,0.00
CCwTMcGtpirFFuqzSeTyaQ==,3,uk,18,1,1,15.84,15.84,15.84,1,15.84,15.84,0,0,0,0,0.00000000000000000000,0.00,0.00
ZmjMhgyYl6o8iFq964FEWg==,4,ru,17,2,1,56.70,56.70,113.40,0,0,,0,1,0,56.70,0,0.00,50.40
hRkRI5YBVIH6bbqIDTbung==,4,uk,19,3,1,67.26,67.26,201.78,1,67.26,201.78,0,0,0,0,0.00000000000000000000,0.00,0.00
aQDvOXzsDAJWi3Y47ptRPg==,4,ru,20,1,1,15.21,15.21,15.21,1,15.21,15.21,0,0,0,0,0.00000000000000000000,0.00,0.00
nklUUkirU5GYU5ZtNOgx8w==,4,ru,20,1,1,19.11,19.11,19.11,1,19.11,19.11,0,0,0,0,0.00000000000000000000,0.00,0.00
"2FYEYdoJMUOtbJ6TruruWA==",4,ru,20,2,1,56.85,56.85,113.70,1,56.85,113.70,0,0,0,0,0.00000000000000000000,0.00,0.00
TWDA+aUZ8OPMHOtz5cPPXA==,4,ru,20,3,1,62.58,62.58,187.74,1,62.58,187.74,0,0,0,0,0.00000000000000000000,0.00,0.00
"4btLP2zvi8eBV0t08fdkKQ==",4,ru,20,5,1,125.97,125.97,629.85,0,0,,0,1,0,125.97,0.67098114413550655161,612.06,0.00
"3iITAz/ADjFv3PDTgTjxSg==",4,ru,16,3,1,81.42,81.42,244.26,0,0,,0,1,0,81.42,0.12926887354131936175,220.50,0.00
DqezK7HAqZ+GovyRuzxD1A==,4,uk,23,3,1,83.19,83.19,249.57,1,83.19,249.57,0,0,0,0,0.00000000000000000000,0.00,0.00
AN9at3LlvDamqXq8dvHD4w==,4,ru,24,3,1,64.50,64.50,193.50,0,0,,0,1,0,64.50,0.25844452458228152422,109.44,0.00
W6fRYNhsTNHQkvkoFEUaVQ==,4,uk,16,3,1,57.72,57.72,173.16,0,0,,0,1,0,57.72,0.29829457364341085271,28.17,0.00
ZxxZ87IcpgSh4lQ/VSIjnA==,4,uk,22,2,1,42.18,42.18,84.36,1,42.18,84.36,0,0,0,0,0.00000000000000000000,0.00,0.00
"75lEf3nSWLSf6GncqhR9gQ==",4,ru,22,4,1,65.97,65.97,263.88,0,0,,0,1,0,65.97,0.78200568990042674253,249.78,0.00
dpfu6t8G4blqMn55KM8bSg==,4,uk,16,1,1,33.03,33.03,33.03,1,33.03,33.03,0,0,0,0,0.00000000000000000000,0.00,0.00
Y/nf8iBu/UCaNAuIRRjVwA==,4,uk,15,1,1,20.43,20.43,20.43,0,0,,0,1,0,20.43,0.61852861035422343324,0.00,3.84
Grpkzd4XIHh+ZbTMNxnUGg==,4,ru,30,2,1,35.55,35.55,71.10,1,35.55,71.10,0,0,0,0,0.00000000000000000000,0.00,0.00
Ghk2iJmzSUW4qLsmJgwOcw==,4,uk,16,5,1,128.40,128.40,642.00,0,0,,0,1,0,128.40,1.8059071729957806,624.87,0.00
Wua5DlzLb2yNeSrcG9Xi3g==,4,uk,23,3,1,59.85,59.85,179.55,1,59.85,179.55,0,0,0,0,0.00000000000000000000,0.00,0.00
"7SeM1pmnTTTXfhI+x3ldng==",4,ru,22,4,1,105.96,105.96,423.84,0,0,,0,1,0,105.96,0.59014202172096908939,354.36,0.00
s27V1tbCAysovKSY1XcdWQ==,4,uk,34,2,1,39.48,39.48,78.96,0,0,,0,1,0,39.48,0.09314835787089467724,56.01,0.00
